participant_id,class_total_screen,class_gaming,class_active_typing
sub-003RTV85,1,1,1
sub-005V6D2C,1,1,1
sub-007W6H7B,NA,NA,NA
sub-00BD7VDC,NA,NA,NA
sub-00CY2MDM,NA,NA,NA
sub-00HEV6HB,1,1,1
sub-00J52GPG,NA,NA,NA
sub-00LH735Y,NA,NA,NA
sub-00LJVZK2,NA,NA,NA
sub-00NPMHND,NA,NA,NA
sub-00R4TXET,1,1,1
sub-00U4FTRU,NA,NA,NA
sub-00UMK5VC,NA,NA,NA
sub-00X2TBWJ,NA,NA,NA
sub-010ZM3H9,NA,NA,NA
sub-014RTM1V,NA,NA,NA
sub-0182J779,NA,NA,NA
sub-0191C80U,NA,NA,NA
sub-019DXLU4,NA,NA,NA
sub-01AJ15N9,NA,NA,NA
sub-01D03VR7,1,1,1
sub-01ELX9L6,NA,NA,NA
sub-01EN91PG,NA,NA,1
sub-01NAYMZH,NA,NA,NA
sub-01RGTWD2,NA,NA,NA
sub-01TXCDJN,NA,NA,NA
sub-01Z8HAPV,NA,NA,NA
sub-021403LF,NA,NA,NA
sub-021N0FLH,NA,NA,NA
sub-022ZVCT8,NA,NA,NA
sub-028D3ELL,NA,NA,NA
sub-028WCTG6,NA,NA,NA
sub-029PWCFY,NA,NA,1
sub-02EBX0JJ,NA,NA,1
sub-02H7G2T6,NA,NA,NA
sub-02JXJUZG,NA,NA,NA
sub-02RCED7D,NA,NA,1
sub-02UVMTY7,NA,NA,1
sub-02WP3TP6,NA,NA,NA
sub-030W95VP,1,1,1
sub-030X9ZNH,NA,NA,1
sub-0314RN9P,NA,NA,NA
sub-0387TP8R,1,1,1
sub-03BDCNWM,NA,NA,NA
sub-03CV8RDT,NA,NA,1
sub-03KMHMJJ,1,1,NA
sub-03NW0RKL,NA,NA,NA
sub-03XVEBPM,NA,NA,NA
sub-03YU08FA,NA,NA,1
sub-040B4TRC,NA,NA,NA
sub-042UJKFB,NA,NA,1
sub-04BFG4JM,NA,NA,NA
sub-04CLBZAD,NA,NA,NA
sub-04EUBGTM,NA,NA,NA
sub-04GAB2AA,NA,NA,1
sub-04JY6730,1,1,1
sub-04P0G6LK,NA,NA,NA
sub-04R9REGF,NA,NA,NA
sub-04TRXUGL,NA,NA,NA
sub-04YC4RXD,NA,NA,NA
sub-052HU3CU,NA,NA,NA
sub-056V9RRJ,NA,NA,1
sub-059VLAHF,NA,NA,NA
sub-05ATJ1V1,NA,NA,1
sub-05CA3VX5,NA,NA,1
sub-05LGG3GZ,NA,NA,NA
sub-05T64PXD,NA,NA,NA
sub-05WK8AN7,NA,NA,NA
sub-05X0LM1N,NA,NA,NA
sub-05YY477E,NA,NA,NA
sub-06A9DLE9,NA,NA,NA
sub-06BKAHN5,1,1,NA
sub-06DE9Y0L,1,1,1
sub-06DJHEV0,1,1,1
sub-06DP74KL,NA,NA,NA
sub-06DX0E7R,NA,NA,1
sub-06LWXY67,NA,NA,NA
sub-06TBFD6R,NA,NA,NA
sub-06U4DYFY,NA,NA,NA
sub-06WHVUPX,NA,NA,NA
sub-07924XF1,NA,NA,1
sub-07BR8GMY,NA,NA,NA
sub-07CMT243,NA,NA,NA
sub-07HGA3B7,1,1,1
sub-07K2M5P4,NA,NA,NA
sub-07RAHHYH,NA,NA,NA
sub-07RPB2TU,NA,NA,NA
sub-07THBLHG,1,1,1
sub-07UK1DPH,NA,NA,NA
