Variable,Classes,LogLik,AIC,BIC,SABIC,Entropy,Min_ClassSize
total_screen,1,-2534.95,5077.91,5098.86,5086.15,NA,NA
total_screen,2,-2499.59,5013.19,5049.85,5027.61,0.772,99
total_screen,3,-2489.6,4999.2,5051.58,5019.81,0.62,64
total_screen,4,-2476.3,4978.61,5046.7,5005.4,0.643,58
total_screen,5,-2489.6,5011.2,5095,5044.18,0.345,64
total_screen,6,-2489.6,5017.2,5116.72,5056.36,0.32,64
gaming,1,-2598.08,5204.15,5225.1,5212.4,NA,NA
gaming,2,-1972.43,3958.87,3995.53,3973.3,1,12
gaming,3,-1620.22,3260.44,3312.82,3281.05,0.997,2
gaming,4,-1235.91,2497.82,2565.91,2524.61,0.992,2
gaming,5,-1620.22,3272.44,3356.24,3305.42,0.962,2
gaming,6,-1620.22,3278.44,3377.96,3317.6,0.431,2
active_typing,1,-6588.94,13185.87,13210.89,13198.18,NA,NA
active_typing,2,-5536.67,11087.35,11131.13,11108.89,0.986,138
active_typing,3,-5125.5,10270.99,10333.54,10301.77,0.968,57
active_typing,4,-5125.5,10276.99,10358.31,10317,0.517,57
active_typing,5,-5125.5,10282.99,10383.07,10332.23,0.614,57
active_typing,6,-5125.5,10288.99,10407.84,10347.47,0.299,57
