variable,subdomain,is_summary,mean_pct_missing,n_subjects_2+_waves,mean_waves_per_subject,mean_variance,miss_score,long_score,var_score,summary_bonus,composite_score
nt_y_stq__screen__wknd_nm,screen_weekend,True,0.03833333333333333,11185,4.86,0.0094,1.0,1.0,0.0,0.1,0.7
nt_y_stq__screen__wknd_sum,screen_weekend,True,0.10833333333333334,11183,4.86,104.0369,0.9992969181579255,0.9998211890925346,3.2661191084079254e-11,0.1,0.6997354321816702
nt_y_stq__screen__wknd__tot__min_001,screen_weekend,True,16.708333333333332,10810,3.98,207.2311,0.8325660813231331,0.9664729548502459,6.506075355524016e-11,0.1,0.6397117108650258
nt_y_stq__screen__wknd__tot__hr_001,screen_weekend,True,16.708333333333332,10810,3.98,16.9376,0.8325660813231331,0.9664729548502459,5.314894378020335e-12,0.1,0.6397117108530765
nt_y_stq__screen__wkdy__tot__min_001,screen_weekday,True,16.71,10810,3.98,205.388,0.8325493412792742,0.9664729548502459,6.448208117258109e-11,0.1,0.6397066888517524
nt_y_stq__screen__wkdy__tot__hr_001,screen_weekday,True,16.71,10810,3.98,9.9645,0.8325493412792742,0.9664729548502459,3.1255718282292406e-12,0.1,0.6397066888394811
nt_y_stq__screen__mature_002,other,False,0.10000000000000002,11184,4.86,0.5368,0.9993806183772201,0.9999105945462673,1.655861399893624e-13,0.0,0.5997873638770792
nt_y_stq__screen__mature_001,other,False,0.10166666666666667,11183,4.86,0.8817,0.9993638783333613,0.9998211890925346,2.7387332179127954e-13,0.0,0.5997555202278234
nt_y_stq__screen__wkdy_nm,screen_weekday,True,33.348333333333336,11126,3.66,0.0152,0.6654334834357266,0.994725078229772,1.8210079862311373e-15,0.1,0.59804756849965
nt_y_stq__screen__wkdy_sum,screen_weekday,True,33.435,11124,3.66,57.2348,0.6645630011550631,0.9945462673223067,1.7966881106081264e-11,0.1,0.5977327805468043
nt_y_stq__sleep_002,sleep,False,16.71,10812,3.98,22807.4586,0.8325493412792742,0.9666517657577112,7.160783989441547e-09,0.0,0.5397603335432524
nt_y_stq__sleep_001,sleep,False,16.71,10812,3.98,1152.3446,0.8325493412792742,0.9666517657577112,3.6179510379573364e-10,0.0,0.5397603321834545
nt_y_stq__screen__wknd__min_005,screen_weekend,False,16.706666666666667,10811,3.98,214.0579,0.832582821366992,0.9665623603039786,6.720414274841303e-11,0.0,0.539743554514732
nt_y_stq__screen__wknd__min_006,screen_weekend,False,16.706666666666667,10811,3.98,197.3697,0.832582821366992,0.9665623603039786,6.196460042499537e-11,0.0,0.5397435545136842
nt_y_stq__screen__wknd__min_008,screen_weekend,False,16.706666666666667,10811,3.98,147.4753,0.832582821366992,0.9665623603039786,4.629941062013144e-11,0.0,0.5397435545105511
nt_y_stq__screen__wknd__hr_006,screen_weekend,False,16.706666666666667,10811,3.98,6.6724,0.832582821366992,0.9665623603039786,2.0919614159065635e-12,0.0,0.5397435545017096
nt_y_stq__screen__wknd__hr_005,screen_weekend,False,16.706666666666667,10811,3.98,6.1099,0.832582821366992,0.9665623603039786,1.915355037931561e-12,0.0,0.5397435545016742
nt_y_stq__screen__wknd__hr_008,screen_weekend,False,16.706666666666667,10811,3.98,5.0615,0.832582821366992,0.9665623603039786,1.5861921460755738e-12,0.0,0.5397435545016084
nt_y_stq__screen__wknd__min_003,screen_weekend,False,16.708333333333332,10811,3.98,188.1814,0.8325660813231331,0.9665623603039786,5.907977841122165e-11,0.0,0.5397385324999495
nt_y_stq__screen__wknd__min_004,screen_weekend,False,16.708333333333332,10811,3.98,174.8499,0.8325660813231331,0.9665623603039786,5.489412876149055e-11,0.0,0.5397385324991123
nt_y_stq__screen__wknd__hr_004,screen_weekend,False,16.708333333333332,10811,3.98,7.6115,0.8325660813231331,0.9665623603039786,2.386807726228919e-12,0.0,0.5397385324886109
nt_y_stq__screen__wknd__hr_003,screen_weekend,False,16.708333333333332,10811,3.98,6.8209,0.8325660813231331,0.9665623603039786,2.1385854996919644e-12,0.0,0.5397385324885613
nt_y_stq__socmed_001,social_media,False,16.718333333333334,10811,3.98,0.1656,0.8324656410599796,0.9665623603039786,4.90416288705696e-14,0.0,0.5397084004091972
nt_y_stq__sleep_003,sleep,False,31.001666666666665,10719,3.25,1631.9727,0.6890034651890788,0.9583370585605722,5.123824487131244e-10,0.0,0.49420215722737176
nt_y_stq__sleep_007,sleep,False,31.001666666666665,10719,3.25,1594.8224,0.6890034651890788,0.9583370585605722,5.007184844043516e-10,0.0,0.49420215722503896
nt_y_stq__sleep_004,sleep,False,31.001666666666665,10719,3.25,1528.1136,0.6890034651890788,0.9583370585605722,4.797741296540247e-10,0.0,0.4942021572208501
nt_y_stq__sleep_006,sleep,False,31.001666666666665,10719,3.25,1435.8171,0.6890034651890788,0.9583370585605722,4.5079608420554505e-10,0.0,0.4942021572150545
nt_y_stq__sleep_010,sleep,False,31.001666666666665,10719,3.25,1417.7795,0.6890034651890788,0.9583370585605722,4.4513287495512393e-10,0.0,0.49420215721392186
nt_y_stq__sleep_005,sleep,False,31.001666666666665,10719,3.25,1334.8191,0.6890034651890788,0.9583370585605722,4.190860558273774e-10,0.0,0.4942021572087125
nt_y_stq__sleep_014,sleep,False,26.433333333333334,10133,3.51,11201.5957,0.7348879254063646,0.9059454626732231,3.516927260475396e-09,0.0,0.4922500171272618
nt_y_stq__sleep_013,sleep,False,26.433333333333334,10133,3.51,10111.9445,0.7348879254063646,0.9059454626732231,3.1748128574743025e-09,0.0,0.4922500170588389
nt_y_stq__phone_009,other,False,27.903333333333336,10021,3.48,3519.4962,0.7201232067228016,0.8959320518551631,1.1050023396957019e-09,0.0,0.4848165777943899
nt_y_stq__phone_007,other,False,27.903333333333336,10021,3.48,2553.9481,0.7201232067228016,0.8959320518551631,8.018522015594429e-10,0.0,0.48481657773375986
nt_y_stq__phone_004,other,False,27.903333333333336,10021,3.48,2397.401,0.7201232067228016,0.8959320518551631,7.527015947799042e-10,0.0,0.4848165777239297
nt_y_stq__phone_001,other,False,27.903333333333336,10021,3.48,2101.0829,0.7201232067228016,0.8959320518551631,6.596675212342427e-10,0.0,0.48481657770532294
nt_y_stq__phone_008,other,False,27.903333333333336,10021,3.48,1874.0966,0.7201232067228016,0.8959320518551631,5.884013376023364e-10,0.0,0.4848165776910697
nt_y_stq__phone_003,other,False,27.903333333333336,10021,3.48,1566.5264,0.7201232067228016,0.8959320518551631,4.91834477166697e-10,0.0,0.4848165776717563
nt_y_stq__phone_005,other,False,27.903333333333336,10021,3.48,1526.8315,0.7201232067228016,0.8959320518551631,4.793715926989994e-10,0.0,0.4848165776692637
nt_y_stq__phone_002,other,False,27.903333333333336,10021,3.48,1508.9991,0.7201232067228016,0.8959320518551631,4.737728094552634e-10,0.0,0.48481657766814396
nt_y_stq__phone_006,other,False,27.903333333333336,10021,3.48,1297.0356,0.7201232067228016,0.8959320518551631,4.072232876812111e-10,0.0,0.4848165776548341
nt_y_stq__sleep_009,sleep,False,36.475,10694,2.99,1450.8215,0.6340291611564023,0.9561019222172552,4.555069690725462e-10,0.0,0.47703932510319863
nt_y_stq__screen__wknd__hr_001__v01,screen_weekend,False,33.39666666666667,10090,3.1,11.3338,0.6649480221638181,0.902101028162718,3.555486696426878e-12,0.0,0.47011471509867186
nt_y_stq__screen__wknd__min_001__v01,screen_weekend,False,33.39833333333333,10089,3.1,234.872,0.6649312821199592,0.9020116227089853,7.373908108051882e-11,0.0,0.47008287146343114
nt_y_stq__screen__wknd__school__min_001,screen_weekend,False,33.405,10088,3.1,202.7384,0.6648643219445236,0.9019222172552526,6.365019448976765e-11,0.0,0.4700359617726628
nt_y_stq__screen__wknd__school__hr_001,screen_weekend,False,33.405,10088,3.1,6.7735,0.6648643219445236,0.9019222172552526,2.1237034689079375e-12,0.0,0.4700359617603575
